acronym,code,concentration
SOL,40,0.5012
HUME,2,0.04
ADDI,16,0.08
GELI,18,0.005
CGRA,17,0.06
CGRA,63,0.01
HUIL,156,0.01
EMUL,24,0.07
CGRA,45,0.05
CGRA,14,0.02
HUIL,95,0.03
HUIL,4,0.04
HUIL,143,0.03
CONS,63,0.011
CONS,92,0.003
EXTR,763,0.01
EXTR,265,0.01
ACTI,223,0.01
PARF,345,0.0033
EAU,4,0.8099
GELI,25,0.002
HUME,5,0.06
ACTI,270,0.003
ADDI,152,0.01
CGRA,11,0.001
CGRA,21,0.004
HUIL,3,0.02
HUIL,13,0.03
SILI,7,0.01
EMUL,3,0.006
SILI,3,0.02
CGRA,15,0.006
CGRA,4,0.002
ACTI,17,0.001
ADDI,98,0.001
EXTR,53,0.0001
FRAG,2,0.01
ACTI,584,0.001
EXTR,242,0.003
GELI,15,0.0
EAU,4,0.8124
GELI,25,0.002
HUME,5,0.06
ACTI,270,0.003
CGRA,11,0.001
CGRA,21,0.004
HUIL,3,0.01
HUIL,13,0.03
SILI,7,0.01
EMUL,3,0.007
SILI,3,0.02
CGRA,15,0.007
CGRA,4,0.0075
ACTI,17,0.001
ADDI,98,0.001
EXTR,259,0.0001
FRAG,2,0.01
ACTI,584,0.001
EXTR,158,0.003
ADDI,152,0.01
GELI,15,0.0
EAU,4,0.8074
GELI,25,0.002
HUME,5,0.06
ACTI,270,0.003
CGRA,11,0.001
CGRA,21,0.004
HUIL,3,0.01
HUIL,13,0.03
SILI,7,0.01
EMUL,3,0.012
SILI,3,0.02
CGRA,15,0.007
CGRA,4,0.0075
ACTI,17,0.001
ADDI,98,0.001
EXTR,259,0.0001
FRAG,2,0.01
ACTI,584,0.001
EXTR,158,0.003
ADDI,152,0.01
GELI,15,0.0
EAU,4,0.8294
GELI,25,0.002
HUME,5,0.06
ACTI,270,0.003
CGRA,11,0.001
CGRA,21,0.004
HUIL,3,0.01
HUIL,13,0.03
SILI,7,0.01
EMUL,3,0.01
CGRA,15,0.007
CGRA,4,0.0075
ACTI,17,0.001
ADDI,98,0.001
EXTR,259,0.0001
FRAG,2,0.01
ACTI,584,0.001
EXTR,158,0.003
ADDI,152,0.01
GELI,15,0.0
EAU,4,0.8364
GELI,25,0.002
HUME,5,0.06
HUIL,13,0.03
CGRA,15,0.006
HUIL,3,0.01
CGRA,21,0.004
SILI,7,0.01
CGRA,11,0.002
CGRA,4,0.0075
EMUL,3,0.006
ACTI,17,0.001
ADDI,98,0.001
EXTR,259,0.0001
FRAG,2,0.01
ACTI,584,0.001
EXTR,158,0.003
ADDI,152,0.01
EAU,4,0.8252
GELI,25,0.002
HUME,5,0.06
HUIL,13,0.03
CGRA,15,0.006
HUIL,3,0.01
CGRA,21,0.004
SILI,7,0.01
CGRA,11,0.002
CGRA,4,0.0075
EMUL,3,0.006
ADDI,98,0.001
GELI,15,0.0122
EXTR,259,0.0001
FRAG,2,0.01
ACTI,584,0.001
EXTR,158,0.003
ADDI,152,0.01
HUIL,127,0.5155
ADDI,541,0.022
HUIL,168,0.05
CGRA,581,0.1
HUIL,31,0.18
HUIL,102,0.05
HUIL,80,0.02
HUIL,191,0.01
HUIL,178,0.03
HUIL,190,0.01
ACTI,536,0.001
PARF,313,0.0015
HUME,20,0.01
EAU,4,0.757
EXTR,301,0.005226
EXTR,263,0.00402
ACTI,412,0.03
HUME,2,0.05
GELI,19,0.002
CGRA,14,0.02
HUIL,18,0.02
HUIL,137,0.05
CGRA,17,0.005
HUIL,139,0.001
EMUL,86,0.025
ACTI,536,0.0018
CONS,63,0.008
ADDI,98,0.0001
EAU,3,0.02
PARF,345,0.001
EAU,7,0.6809999999999999
ACTI,412,0.02
EXTR,233,0.06
EXTR,226,0.03
EXTR,301,0.17
GELI,19,0.001
HUME,2,0.01
EMUL,117,0.02
CONS,63,0.008
EAU,9,0.748
HUME,2,0.07
HUME,8,0.05
GELI,55,0.0055
ACTI,732,0.01
ACTI,543,0.017
ACTI,373,0.02
CONS,37,0.003
CONS,23,0.001
HUME,18,0.002
HUME,16,0.01
HUME,17,0.04
EAU,3,0.02
ACTI,731,0.002
ADDI,77,0.0015
EAU,4,0.65859
EXTR,227,0.11
CONS,35,0.005
CONS,21,0.003
CONS,68,0.005
HUME,2,0.03
GELI,18,0.004
GELI,87,0.006
MOUS,80,0.1
MOUS,34,0.05
ADDI,2,0.00041
EXTR,266,0.001
ACTI,75,0.002
ACTI,1093,0.02
PARF,351,0.005
EAU,4,0.682
ACTI,270,0.005
ACTI,412,0.03
GELI,18,0.004
HUME,2,0.03
CGRA,4,0.005
CGRA,6,0.025
HUIL,168,0.01
CGRA,45,0.01
EMUL,100,0.06
HUIL,184,0.015
HUIL,40,0.04
CGRA,523,0.04
CGRA,17,0.01
ADDI,2,0.002
CONS,69,0.03
PARF,345,0.002
EAU,5,0.5047
ADDI,115,0.08
HUME,2,0.04
GELI,18,0.005
CGRA,17,0.06
CGRA,63,0.01
HUIL,156,0.01
EMUL,24,0.07
CGRA,45,0.04
HUIL,95,0.03
HUIL,4,0.04
HUIL,143,0.03
CONS,63,0.011
CONS,85,0.003
EXTR,265,0.01
ACTI,736,0.01
ACTI,1093,0.02
ACTI,223,0.02
PARF,564,0.005
ADDI,98,0.0013
EAU,5,0.5661
ACTI,412,0.02
EXTR,265,0.01
HUME,2,0.04
GELI,18,0.005
CGRA,17,0.06
CGRA,63,0.01
HUIL,156,0.01
EMUL,24,0.08
CGRA,45,0.05
HUIL,95,0.03
CGRA,14,0.02
HUIL,4,0.04
HUIL,143,0.03
CONS,63,0.011
CONS,85,0.003
PARF,345,0.002
ADDI,1,0.0029
ACTI,736,0.01
EAU,4,0.5514
ACTI,270,0.003
HUME,2,0.03
GELI,22,0.0015
GELI,23,0.0375
ACTI,936,0.1
EMUL,24,0.06
CGRA,48,0.025
CGRA,4,0.02
CONS,68,0.005
ADDI,2,0.002
HUIL,18,0.05
EXTR,169,0.03
EXTR,59,0.05
CGRA,25,0.03
ADDI,1,0.0006
EAU,6,0.71505
HUME,5,0.02
GELI,17,0.004
CONS,79,0.04
ADDI,17,0.00895
HUIL,35,0.035
HUIL,13,0.06
HUIL,36,0.025
EMUL,28,0.023
HUIL,19,0.015
CGRA,15,0.014
EMUL,3,0.02
CGRA,1,0.005
EAU,5,0.62
ADDI,3,0.0005
HUME,2,0.05
GELI,17,0.004
ADDI,98,0.0012
EMUL,1,0.02
ADDI,98,0.0012
HUIL,18,0.08
HUIL,4,0.04
CGRA,15,0.02
ABC,120,0.02
FSOL,5,0.01
HUIL,124,0.02
CONS,11,0.01
CONS,37,0.003
HUME,16,0.01
CONS,23,0.001
EAU,5,0.03
ACTI,31,0.0001
ACTI,175,0.02
PARF,154,0.005
EAU,4,0.03
ACTI,1077,0.004
EAU,5,0.623
ADDI,3,0.0005
HUME,2,0.05
GELI,17,0.004
ADDI,98,0.0012
EMUL,1,0.02
ADDI,98,0.0012
HUIL,18,0.08
HUIL,4,0.04
CGRA,15,0.02
ABC,120,0.02
FSOL,5,0.01
HUIL,124,0.02
CONS,11,0.01
CONS,37,0.003
HUME,16,0.01
CONS,23,0.001
EAU,5,0.03
ACTI,31,0.0001
ACTI,175,0.02
PARF,154,0.002
EAU,4,0.03
ACTI,1077,0.004
EAU,4,0.6502
ADDI,3,0.0005
HUME,2,0.03
HUME,7,0.03
GELI,17,0.004
EMUL,3,0.04
HUIL,18,0.03
HUIL,1,0.03
HUIL,4,0.03
HUIL,26,0.03
HUIL,12,0.02
ADDI,98,0.0012
GELI,15,0.01
CONS,11,0.01
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
ACTI,31,0.0001
EAU,3,0.03
ACTI,175,0.02
ACTI,1076,0.02
EAU,4,0.6002000000000001
ADDI,3,0.0005
HUME,2,0.03
HUME,7,0.03
GELI,17,0.004
EMUL,3,0.04
HUIL,18,0.03
HUIL,1,0.03
HUIL,4,0.03
HUIL,26,0.03
CGRA,48,0.03
HUIL,12,0.02
SILI,14,0.015
ADDI,98,0.0012
GELI,15,0.01
CONS,11,0.01
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
ACTI,31,0.0001
EAU,3,0.03
PARF,154,0.005
ACTI,175,0.02
ACTI,1076,0.02
EAU,4,0.6032
ADDI,3,0.0005
HUME,2,0.03
HUME,7,0.03
GELI,17,0.004
EMUL,3,0.04
HUIL,18,0.03
HUIL,1,0.03
HUIL,4,0.03
HUIL,26,0.03
CGRA,48,0.03
HUIL,12,0.02
SILI,14,0.015
ADDI,98,0.0012
GELI,15,0.01
CONS,11,0.01
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
ACTI,31,0.0001
EAU,3,0.03
PARF,154,0.002
ACTI,175,0.02
ACTI,1076,0.02
EAU,4,0.5347999999999999
ADDI,27,0.08
ADDI,10,0.02
ACTI,270,0.003
ADDI,17,0.005
ADDI,98,0.0021
CGRA,15,0.08
CGRA,556,0.035
HUIL,18,0.1
HUIL,174,0.03
ADDI,2,0.005
GELI,15,0.005
HUME,2,0.03
CONS,11,0.002
CONS,37,0.003
EAU,3,0.03
ACTI,31,0.0001
ACTI,175,0.01
PARF,154,0.005
ACTI,1076,0.02
EAU,4,0.5378000000000001
ADDI,27,0.08
ADDI,10,0.02
ACTI,270,0.003
ADDI,17,0.005
ADDI,98,0.0021
CGRA,15,0.08
CGRA,556,0.035
HUIL,18,0.1
HUIL,174,0.03
ADDI,2,0.005
GELI,15,0.005
HUME,2,0.03
CONS,11,0.002
CONS,37,0.003
EAU,3,0.03
ACTI,31,0.0001
ACTI,175,0.01
PARF,154,0.002
ACTI,1076,0.02
EAU,4,0.5287999999999999
ADDI,27,0.08
ADDI,10,0.02
ACTI,270,0.004
ADDI,17,0.005
ADDI,98,0.0021
CGRA,15,0.08
CGRA,556,0.035
HUIL,18,0.1
HUIL,174,0.03
ADDI,2,0.002
GELI,15,0.005
HUME,2,0.03
CONS,11,0.01
CONS,37,0.003
EAU,3,0.03
ACTI,31,0.0001
ACTI,175,0.01
PARF,154,0.005
ACTI,1076,0.02
EAU,4,0.76953
ADDI,3,0.0005
HUME,2,0.05
GELI,17,0.003
ADDI,98,0.0009
GELI,15,0.005
HUIL,124,0.02
SILI,14,0.02
PARF,154,0.002
CONS,11,0.01
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
EAU,4,0.03
ACTI,31,0.0001
EAU,4,0.03
ACTI,1077,0.004
ACTI,175,0.02
ACTI,1076,0.02
ADDI,1,0.00097
EAU,4,0.7705299999999999
ADDI,3,0.0005
HUME,2,0.05
