./data_files/66°30.xls: 14031L0
   acronym  code  concentration
3      SOL    40          0.529
4     HUME     2          0.040
5     ADDI   115          0.080
7     GELI    18          0.005
9     CGRA    17          0.060
10    CGRA    63          0.010
11    HUIL   156          0.010
12    EMUL    24          0.070
13    CGRA    45          0.040
14    HUIL    95          0.030
15    HUIL     4          0.040
16    HUIL   143          0.030
18    CONS    63          0.011
19    CONS    92          0.003
21    EXTR   763          0.010
22    EXTR   265          0.010
24    ACTI   223          0.020
26    PARF   345          0.002

./data_files/66°30.xls: 14032L0
   acronym  code  concentration
3      SOL    40         0.5012
4     HUME     2         0.0400
5     ADDI    16         0.0800
7     GELI    18         0.0050
9     CGRA    17         0.0600
10    CGRA    63         0.0100
11    HUIL   156         0.0100
12    EMUL    24         0.0700
13    CGRA    45         0.0500
14    CGRA    14         0.0200
15    HUIL    95         0.0300
16    HUIL     4         0.0400
17    HUIL   143         0.0300
19    CONS    63         0.0110
20    CONS    92         0.0030
22    EXTR   763         0.0100
23    EXTR   265         0.0100
26    ACTI   223         0.0100
28    PARF   345         0.0033

./data_files/12245A13.xls: formule
   acronym  code  concentration
3      EAU     4         0.8099
4     GELI    25         0.0020
5     HUME     5         0.0600
6     ACTI   270         0.0030
7     ADDI   152         0.0100
9     CGRA    11         0.0010
10    CGRA    21         0.0040
11    HUIL     3         0.0200
12    HUIL    13         0.0300
13    SILI     7         0.0100
14    EMUL     3         0.0060
15    SILI     3         0.0200
16    CGRA    15         0.0060
17    CGRA     4         0.0020
19    ACTI    17         0.0010
20    ADDI    98         0.0010
21    EXTR    53         0.0001
22    FRAG     2         0.0100
23    ACTI   584         0.0010
24    EXTR   242         0.0030
25    GELI    15         0.0000

./data_files/12245A13.xls: 12245A14
   acronym  code  concentration
3      EAU     4         0.8124
4     GELI    25         0.0020
5     HUME     5         0.0600
6     ACTI   270         0.0030
8     CGRA    11         0.0010
9     CGRA    21         0.0040
10    HUIL     3         0.0100
11    HUIL    13         0.0300
12    SILI     7         0.0100
13    EMUL     3         0.0070
14    SILI     3         0.0200
15    CGRA    15         0.0070
16    CGRA     4         0.0075
18    ACTI    17         0.0010
19    ADDI    98         0.0010
20    EXTR   259         0.0001
21    FRAG     2         0.0100
22    ACTI   584         0.0010
23    EXTR   158         0.0030
24    ADDI   152         0.0100
25    GELI    15         0.0000

./data_files/12245A13.xls: 12245A16
   acronym  code  concentration
3      EAU     4         0.8074
4     GELI    25         0.0020
5     HUME     5         0.0600
6     ACTI   270         0.0030
8     CGRA    11         0.0010
9     CGRA    21         0.0040
10    HUIL     3         0.0100
11    HUIL    13         0.0300
12    SILI     7         0.0100
13    EMUL     3         0.0120
14    SILI     3         0.0200
15    CGRA    15         0.0070
16    CGRA     4         0.0075
18    ACTI    17         0.0010
19    ADDI    98         0.0010
20    EXTR   259         0.0001
21    FRAG     2         0.0100
22    ACTI   584         0.0010
23    EXTR   158         0.0030
24    ADDI   152         0.0100
25    GELI    15         0.0000

./data_files/12245A13.xls: 12245A17
   acronym  code  concentration
3      EAU     4         0.8294
4     GELI    25         0.0020
5     HUME     5         0.0600
6     ACTI   270         0.0030
8     CGRA    11         0.0010
9     CGRA    21         0.0040
10    HUIL     3         0.0100
11    HUIL    13         0.0300
12    SILI     7         0.0100
13    EMUL     3         0.0100
14    CGRA    15         0.0070
15    CGRA     4         0.0075
17    ACTI    17         0.0010
18    ADDI    98         0.0010
19    EXTR   259         0.0001
20    FRAG     2         0.0100
21    ACTI   584         0.0010
22    EXTR   158         0.0030
23    ADDI   152         0.0100
24    GELI    15         0.0000

./data_files/12245A13.xls: 12245A18
   acronym  code  concentration
3      EAU     4         0.8364
4     GELI    25         0.0020
5     HUME     5         0.0600
7     HUIL    13         0.0300
8     CGRA    15         0.0060
9     HUIL     3         0.0100
10    CGRA    21         0.0040
11    SILI     7         0.0100
12    CGRA    11         0.0020
13    CGRA     4         0.0075
14    EMUL     3         0.0060
16    ACTI    17         0.0010
17    ADDI    98         0.0010
18    EXTR   259         0.0001
19    FRAG     2         0.0100
20    ACTI   584         0.0010
21    EXTR   158         0.0030
22    ADDI   152         0.0100

./data_files/12245A13.xls: 12245A19
   acronym  code  concentration
3      EAU     4         0.8252
4     GELI    25         0.0020
5     HUME     5         0.0600
7     HUIL    13         0.0300
8     CGRA    15         0.0060
9     HUIL     3         0.0100
10    CGRA    21         0.0040
11    SILI     7         0.0100
12    CGRA    11         0.0020
13    CGRA     4         0.0075
14    EMUL     3         0.0060
16    ADDI    98         0.0010
17    GELI    15         0.0122
18    EXTR   259         0.0001
19    FRAG     2         0.0100
20    ACTI   584         0.0010
21    EXTR   158         0.0030
22    ADDI   152         0.0100

./data_files/13000 à 135000.xls: 13270L11
   acronym  code  concentration
3     HUIL   127         0.5155
4     ADDI   541         0.0220
6     HUIL   168         0.0500
7     CGRA   581         0.1000
8     HUIL    31         0.1800
9     HUIL   102         0.0500
10    HUIL    80         0.0200
11    HUIL   191         0.0100
12    HUIL   178         0.0300
13    HUIL   190         0.0100
14    ACTI   536         0.0010
15    PARF   313         0.0015
16    HUME    20         0.0100

./data_files/13000 à 135000.xls: 13374L3
   acronym  code  concentration
3      EAU     4       0.757000
4     EXTR   301       0.005226
5     EXTR   263       0.004020
6     ACTI   412       0.030000
8     HUME     2       0.050000
9     GELI    19       0.002000
11    CGRA    14       0.020000
12    HUIL    18       0.020000
13    HUIL   137       0.050000
14    CGRA    17       0.005000
15    HUIL   139       0.001000
16    EMUL    86       0.025000
17    ACTI   536       0.001800
19    CONS    63       0.008000
21    ADDI    98       0.000100
22     EAU     3       0.020000
24    PARF   345       0.001000

./data_files/13000 à 135000.xls: 13375L
   acronym  code  concentration
3      EAU     7          0.681
4     ACTI   412          0.020
5     EXTR   233          0.060
6     EXTR   226          0.030
7     EXTR   301          0.170
9     GELI    19          0.001
10    HUME     2          0.010
12    EMUL   117          0.020
13    CONS    63          0.008

./data_files/13000 à 135000.xls: 13480L9
